colunas
id_vaga
titulo
modalidade
candidato_nome
candidato_codigo
situacao_candidado
data_candidatura
ultima_atualizacao
comentario
recrutador
informacoes_basicas_data_requicisao
informacoes_basicas_limite_esperado_para_contratacao
informacoes_basicas_titulo_vaga
informacoes_basicas_vaga_sap
informacoes_basicas_cliente
informacoes_basicas_solicitante_cliente
informacoes_basicas_empresa_divisao
informacoes_basicas_requisitante
informacoes_basicas_analista_responsavel
informacoes_basicas_tipo_contratacao
informacoes_basicas_prazo_contratacao
informacoes_basicas_objetivo_vaga
informacoes_basicas_prioridade_vaga
informacoes_basicas_origem_vaga
informacoes_basicas_superior_imediato
perfil_vaga_pais
perfil_vaga_estado
perfil_vaga_cidade
perfil_vaga_bairro
perfil_vaga_regiao
perfil_vaga_local_trabalho
perfil_vaga_vaga_especifica_para_pcd
perfil_vaga_faixa_etaria
perfil_vaga_nivel profissional
perfil_vaga_nivel_academico
perfil_vaga_nivel_ingles
perfil_vaga_nivel_espanhol
perfil_vaga_areas_atuacao
perfil_vaga_principais_atividades
perfil_vaga_competencia_tecnicas_e_comportamentais
perfil_vaga_demais_observacoes
perfil_vaga_viagens_requeridas
perfil_vaga_equipamentos_necessarios
beneficios_valor_venda
beneficios_valor_compra_1
informacoes_basicas_data_inicial
informacoes_basicas_data_final
perfil_vaga_habilidades_comportamentais_necessarias
id_candidato
infos_basicas_telefone
infos_basicas_objetivo_profissional
infos_basicas_data_criacao
infos_basicas_inserido_por
infos_basicas_email
infos_basicas_local
infos_basicas_sabendo_de_nos_por
infos_basicas_data_atualizacao
infos_basicas_codigo_profissional
infos_basicas_nome
informacoes_pessoais_data_aceite
informacoes_pessoais_nome
informacoes_pessoais_fonte_indicacao
informacoes_pessoais_email
informacoes_pessoais_data_nascimento
informacoes_pessoais_telefone_celular
informacoes_pessoais_estado_civil
informacoes_pessoais_pcd
informacoes_pessoais_endereco
informacoes_profissionais_titulo_profissional
informacoes_profissionais_area_atuacao
informacoes_profissionais_conhecimentos_tecnicos
informacoes_profissionais_certificacoes
informacoes_profissionais_outras_certificacoes
informacoes_profissionais_remuneracao
informacoes_profissionais_nivel_profissional
formacao_e_idiomas_nivel_academico
formacao_e_idiomas_nivel_ingles
formacao_e_idiomas_nivel_espanhol
formacao_e_idiomas_outro_idioma
cv_pt
formacao_e_idiomas_instituicao_ensino_superior
formacao_e_idiomas_cursos
formacao_e_idiomas_ano_conclusao
match
